SUPPLIER,TYPE,DESCRIPTION,PARTNUMBER,PRICE,NOTES
TYCO,BASE,SOUNDER ADJUSTMENT TOOL,517.050.015,9.4,Example
TYCO,BASE,4B DETECTOR BASE GEN 6,517.050.041,7.8,
TYCO,BASE,4B-C CONTINUITY BASE,517.050.042,7.88,
TYCO,BASE,4BI SHORT CIRCUIT ISOLATOR BASE,517.050.043,47.53,
TYCO,BASE,4B-DHM DECKHEAD MOUNTING,517.050.051,29.44,
